TRAIN DATA, DET_CYCLE 5, TRACKER_IOU_THRES 0.3

                IDF1   IDP   IDR  Rcll  Prcn  GT  MT  PT  ML   FP    FN  IDs    FM  MOTA  MOTP
MOT17-02-FRCNN 34.4% 56.5% 24.7% 34.8% 79.5%  62   7  28  27 1667 12112  119   133 25.2% 0.136
MOT17-04-FRCNN 54.6% 73.0% 43.6% 55.7% 93.2%  83  19  43  21 1928 21081  107   123 51.4% 0.108
MOT17-05-FRCNN 52.1% 72.7% 40.6% 50.4% 90.3% 133  17  66  50  376  3430   92    88 43.6% 0.192
MOT17-09-FRCNN 54.6% 75.0% 42.9% 56.6% 99.0%  26   7  16   3   30  2312   36    41 55.3% 0.113
MOT17-10-FRCNN 40.0% 46.5% 35.1% 57.9% 76.7%  57  13  38   6 2258  5403  238   289 38.5% 0.182
MOT17-11-FRCNN 53.7% 69.0% 43.9% 59.6% 93.6%  75  16  36  23  383  3815   67    67 54.8% 0.106
MOT17-13-FRCNN 38.9% 46.0% 33.6% 52.3% 71.5% 110  21  59  30 2432  5554  348   401 28.4% 0.197
OVERALL        47.8% 63.5% 38.3% 52.2% 86.6% 546 100 286 160 9074 53707 1007  1142 43.2% 0.135




TRAIN DATA, DET_CYCLE 5, TRACKER_IOU_THRES 0.1
                IDF1   IDP   IDR  Rcll  Prcn   GT  MT  PT  ML    FP     FN  IDs    FM  MOTA  MOTP
MOT17-02-DPM   18.7% 33.2% 13.0% 25.1% 64.1%   62   5  20  37  2607  13918  159   155 10.2% 0.258
MOT17-04-DPM   24.0% 26.4% 22.0% 45.0% 54.1%   83   8  47  28 18212  26134  611   610  5.5% 0.233
MOT17-05-DPM   32.7% 42.4% 26.6% 40.6% 64.8%  133   4  78  51  1525   4107  130   144 16.7% 0.273
MOT17-09-DPM   32.5% 30.7% 34.5% 60.0% 53.4%   26   5  18   3  2786   2131   95   102  5.9% 0.271
MOT17-10-DPM   25.0% 30.9% 21.0% 40.9% 60.1%   57   6  25  26  3484   7587  177   241 12.4% 0.269
MOT17-11-DPM   35.9% 37.6% 34.4% 54.5% 59.6%   75  11  27  37  3489   4295   78    74 16.7% 0.232
MOT17-13-DPM   20.0% 31.5% 14.6% 22.5% 48.2%  110   5  44  61  2806   9028  154   218 -3.0% 0.288

MOT17-02-FRCNN 34.6% 56.5% 25.0% 35.1% 79.6%   62   7  26  29  1677  12053  105   122 25.5% 0.143
MOT17-04-FRCNN 54.8% 73.4% 43.8% 55.7% 93.3%   83  20  41  22  1908  21085  107   120 51.4% 0.112
MOT17-05-FRCNN 50.9% 71.7% 39.5% 49.1% 89.0%  133  13  68  52   419   3522   77   110 41.9% 0.206
MOT17-09-FRCNN 55.0% 74.9% 43.4% 56.9% 98.2%   26   8  14   4    56   2296   35    41 55.2% 0.127
MOT17-10-FRCNN 40.2% 46.6% 35.3% 57.7% 76.2%   57  14  35   8  2318   5436  191   292 38.1% 0.192
MOT17-11-FRCNN 53.4% 68.7% 43.7% 59.3% 93.3%   75  14  36  25   403   3844   53    64 54.4% 0.115
MOT17-13-FRCNN 40.6% 48.3% 35.0% 51.6% 71.2%  110  16  71  23  2424   5636  247   448 28.6% 0.219

MOT17-02-SDP   31.0% 40.2% 25.3% 46.8% 74.3%   62   6  40  16  3004   9880  250   273 29.3% 0.214
